INFO 2025-06-15 15:45:47,346 autoreload 16 140095426157440 Watching for file changes with StatReloader
DEBUG 2025-06-15 15:45:47,348 autoreload 16 140095426157440 Waiting for apps ready_event.
DEBUG 2025-06-15 15:45:47,663 autoreload 16 140095426157440 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-06-15 15:45:47,691 autoreload 16 140095426157440 Watching dir /app/weather/templates with glob **/*.
DEBUG 2025-06-15 15:45:47,693 autoreload 16 140095426157440 Watching dir /usr/local/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-06-15 15:45:47,697 autoreload 16 140095426157440 Watching dir /app/locale with glob **/*.mo.
DEBUG 2025-06-15 15:45:47,701 autoreload 16 140095426157440 Watching dir /usr/local/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-06-15 15:45:47,703 autoreload 16 140095426157440 Watching dir /usr/local/lib/python3.11/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-06-15 15:45:47,704 autoreload 16 140095426157440 Watching dir /app/weather/locale with glob **/*.mo.
DEBUG 2025-06-15 15:45:48,054 autoreload 16 140095426157440 File /usr/local/lib/python3.11/asyncio/threads.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,055 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/sqlparse/lexer.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,056 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/template/backends/django.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,057 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,058 autoreload 16 140095426157440 File /usr/local/lib/python3.11/stringprep.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,059 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/coreschema/__init__.py first seen with mtime 1749991426.0
DEBUG 2025-06-15 15:45:48,059 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/pkg_resources/_vendor/jaraco/text/__init__.py first seen with mtime 1749599854.0
DEBUG 2025-06-15 15:45:48,060 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/test/html.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,061 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/contrib/admin/views/main.py first seen with mtime 1749991424.0
DEBUG 2025-06-15 15:45:48,061 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/files/uploadedfile.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,062 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/test/__init__.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,063 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/utils/functional.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,065 autoreload 16 140095426157440 File /usr/local/lib/python3.11/email/mime/text.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,066 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/corsheaders/conf.py first seen with mtime 1749991426.0
DEBUG 2025-06-15 15:45:48,067 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/management/sql.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,067 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/urllib3/util/__init__.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,068 autoreload 16 140095426157440 File /usr/local/lib/python3.11/wsgiref/__init__.py first seen with mtime 1749599834.0
DEBUG 2025-06-15 15:45:48,068 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/contrib/auth/backends.py first seen with mtime 1749991424.0
DEBUG 2025-06-15 15:45:48,069 autoreload 16 140095426157440 File /usr/local/lib/python3.11/lib-dynload/_ssl.cpython-311-x86_64-linux-gnu.so first seen with mtime 1749599817.0
DEBUG 2025-06-15 15:45:48,071 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,071 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/checks/security/csrf.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,072 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/template/backends/base.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,073 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/colorama/ansi.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,075 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,076 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/forms/widgets.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,077 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/utils/crypto.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,079 autoreload 16 140095426157440 File /usr/local/lib/python3.11/html/__init__.py first seen with mtime 1749599834.0
DEBUG 2025-06-15 15:45:48,080 autoreload 16 140095426157440 File /usr/local/lib/python3.11/lib-dynload/math.cpython-311-x86_64-linux-gnu.so first seen with mtime 1749599801.0
DEBUG 2025-06-15 15:45:48,081 autoreload 16 140095426157440 File /usr/local/lib/python3.11/csv.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,082 autoreload 16 140095426157440 File /usr/local/lib/python3.11/asyncio/format_helpers.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,083 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/coreapi/codecs/download.py first seen with mtime 1749991426.0
DEBUG 2025-06-15 15:45:48,085 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/management/commands/runserver.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,085 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/rest_framework/checks.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,088 autoreload 16 140095426157440 File /app/weather_project/__init__.py first seen with mtime 1749983792.7013297
DEBUG 2025-06-15 15:45:48,088 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/pytz/tzfile.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,089 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/rest_framework/request.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,090 autoreload 16 140095426157440 File /usr/local/lib/python3.11/asyncio/protocols.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,092 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1749991425.0
